111111111SMITH        JRPLB400010105
222222222JONES        PMPLB400920210
222223333JONES        RPCAR400930305
333333333HEINLEIN     FRELE390040410
333334444HEINLEIN     RPWEL390010105
444444444CLARKE       ACRFR399020210
444445555CLARKE       RPPLB399030305
555555555HERBERT      FRPLB410040410
666666666ASSIMOV      ARELE400011005
777777777TOLKEIN      JRWEL405020110
777779999ROBINSON     SPRFR400030205
888885555ROBSON       P ELE399940310
888888666ROGERS       S ELE300010405
888899999ROGERS       G WEL300021010
